Rank,Name,Revenue,Revenue in percentage,Profit,Profit in percentage,Assets,employees,years on global 500 list
1,Walmart,648125.0,0.06,15511.0,0.32799999999999996,252399.0,2100000,30
2,Amazon,574785.0,0.11800000000000001,30425.0,0.32799999999999996,527854.0,1525000,16
3,State Grid,545947.5,0.03,9204.3,0.124,781126.2,1361423,24
4,Saudi Aramco,494890.1,-0.18,120699.3,-0.24100000000000002,660819.2,73311,6
5,Sinopec Group,429699.7,-0.08800000000000001,9393.4,-0.027000000000000003,382688.0,513434,26
6,China National Petroleum,421713.6,-0.127,21294.7,0.01,630562.0,1026301,24
7,Apple,383285.0,-0.027999999999999997,96995.0,-0.027999999999999997,352583.0,161000,22
8,UnitedHealth Group,371622.0,0.146,22381.0,0.11199999999999999,273720.0,440000,28
9,Berkshire Hathaway,364482.0,0.207,96223.0,0.11199999999999999,1069978.0,396500,28
10,CVS Health,357776.0,0.11,8344.0,1.011,249728.0,259500,29
11,Volkswagen,348408.1,0.18600000000000003,17944.5,0.105,663063.8,684025,30
12,Exxon Mobil,344582.0,-0.16699999999999998,36010.0,-0.354,376317.0,61500,30
13,Shell,323183.0,-0.163,19359.0,-0.542,406270.0,103000,30
14,China State Construction Engineering,320430.5,0.048,4371.5,0.033,410143.8,382894,13
15,Toyota Motor,312018.2,0.13699999999999998,34214.4,0.889,595915.2,380793,30
16,McKesson,308951.0,0.11699999999999999,3002.0,-0.157,67443.0,48000,30
17,Alphabet,307394.0,0.087,73795.0,0.231,402392.0,182502,16
18,Cencora,262173.4,0.099,1745.3,0.027000000000000003,62558.8,44000,25
19,Trafigura Group,244280.2,-0.233,7393.2,0.057,83382.5,12479,10
20,Costco Wholesale,242290.0,0.068,6292.0,0.077,68994.0,316000,30
21,JPMorgan Chase,239425.0,0.547,49552.0,0.315,3875393.0,309926,30
22,Industrial & Commercial Bank of China,222484.2,0.036000000000000004,51417.0,-0.040999999999999995,6297314.5,419252,26
23,TotalEnergies,218945.0,-0.16899999999999998,21384.0,0.042,283654.0,102579,30
24,Glencore,217829.0,-0.149,4280.0,-0.753,123869.0,83426,14
25,BP,213032.0,-0.14400000000000002,15239.0,-0.753,280294.0,79400,30
26,Microsoft,211915.0,0.069,72361.0,-0.005,411976.0,221000,27
27,Cardinal Health,205012.0,0.13,261.0,-0.005,43417.0,47520,27
28,Stellantis,204908.3,0.085,20103.4,0.138,223247.2,258275,19
29,Chevron,200949.0,-0.184,21369.0,-0.39799999999999996,261632.0,45600,30
30,China Construction Bank,199826.1,-0.013999999999999999,46990.0,-0.024,5399535.9,376871,25
31,Samsung Electronics,198256.7,-0.153,11081.7,-0.7390000000000001,351936.8,267860,30
32,Hon Hai Precision Industry,197876.0,-0.111,4562.9,-0.04,128549.6,621393,20
33,Cigna,195265.0,0.08199999999999999,5164.0,-0.226,152761.0,71413,29
34,Agricultural Bank of China,192398.3,0.028999999999999998,38048.7,-0.012,5617654.6,451003,25
35,China Railway Engineering Group,178562.9,0.04,2152.5,0.057999999999999996,258817.8,314149,10
36,Ford Motor,176191.0,0.115,4347.0,0.057999999999999996,273310.0,177000,30
37,Bank of China,172327.6,0.098,32758.3,-0.031,4569326.6,306931,30
